cuisine,name,num_reviews,price,stars
Modern European,Savoy Grill at The Savoy,40,64.5,3.5
Bars,Dirty Martini Covent Garden,2,N\A,3
Indian,Tamarind Mayfair,23,64.5,4
Bars,Bourne & Hollingsworth,1,N\A,5
French,Creme de la Crepe,0,N\A,5
,Black & Blue Waterloo,0,N\A,5
Vietnamese,Cay Tre Soho,3,39.5,4
North American,Maxwell's Bar & Grill,3,39.5,4
"Italian, Pizza",Franco Manca Victoria,0,30.0,5
International,Balans Soho Society Victoria,0,N\A,5
Bars,The Azulito Bar,0,N\A,5
"British, Modern European",Kingsley Two Brasserie,0,39.5,5
International,Cookhouse Joe Dean Street,0,N\A,5
North American,Japes,1,N\A,5
French,Pierre Victoire - Soho,1,N\A,5
Bars,Ballyhoo,0,N\A,5
"Italian, Pizza",Franco Manca Aldwych,0,30.0,5
Modern European,The Boulevard Theatre Restaurant,0,30.0,5
Korean,Koba,5,39.5,3
Hungarian,House of Chimney,0,30.0,5
French,Maison Francois ,0,N\A,5
"Barbecue, South American",Temper Soho,15,39.5,4
International,Onima,2,64.5,4
Afternoon tea,The English Tea Room at Brown's (afternoon tea),1,39.5,3
Pubs,The Seven Stars Holborn,0,N\A,5
Italian,Bocca di Lupo,64,64.5,5
Indian,Mumbai Lounge,0,39.5,5
,Spaghetti House Woodstock Street,0,N\A,5
Bars,Courtyard Garden at Sanderson hotel,1,N\A,3.5
Afternoon tea,Afternoon tea at One Aldwych,0,N\A,5
"British, French",Noble Rot Soho,0,39.5,5
Bars,The Leopard Bar at The Rubens at the Palace,0,N\A,5
Bars,Mr Fogg's House of Botanicals,0,N\A,5
Bars,The Perception,0,N\A,5
Burgers,Honest Burgers Soho,2,30.0,3.5
"Japanese, Sushi",Roka Aldwych,13,80.0,2.5
North American,SOLA Soho,0,N\A,5
"Halal, Lebanese",Al Sultan,0,39.5,5
,Afternoon Tea at Holbeck Ghyll,0,64.5,5
Bars,Garlic & Shots,2,N\A,0.5
Pubs,The Shaston Arms,0,N\A,5
Bars,The Piano Bar,0,N\A,5
,Burger and Lobster Soho,13,39.5,4
Afternoon tea,Afternoon Tea at Caffe Concerto Whitehall,0,N\A,5
"Argentinian, Steak",Gaucho Piccadilly,34,64.5,4.5
"Italian, Pizza",Pizza Express Langham Place,0,39.5,5
,Cafe Gourmand,0,30.0,5
Lebanese,Comptoir Libanais Poland Street,0,30.0,5
"International, Wine Bars",The Other Naughty Piglet,1,30.0,5
"Bars, Tapas",Salvador & Amanda Bloomsbury,0,30.0,5
Bars,Marconi at ME Hotel London,0,N\A,5
,The Black Penny,0,N\A,5
Bars,Thirst,0,N\A,5
Turkish,Le Bab,0,39.5,5
International,Homage at The Waldorf Hilton,3,64.5,3.5
Chinese,Baiwei,0,30.0,5
Turkish,EV,0,39.5,5
British,The Ship Tavern,0,N\A,5
,Fernandez & Wells Somerset House,1,30.0,1.5
"Fish, Pan-Asian",Sexy Fish,23,64.5,5
"Spanish, Tapas",The Port House,3,39.5,3.5
"Chinese, Thai",Hot Pot,0,30.0,5
British,Jar Kitchen,2,30.0,5
"Japanese, Peruvian",Sushisamba Covent Garden,14,64.5,5
Italian,Stampa,0,30.0,5
"Bars, North American",Smith & Wollensky (bar),0,N\A,5
Greek,The Real Greek Soho,0,39.5,5
Pubs,The Tipperary,0,N\A,5
Caribbean,The Rum Kitchen Carnaby Street,1,39.5,5
"Fusion, Italian, Japanese",Aiko,0,39.5,5
Bars,Eve Bar,1,N\A,5
French,Côte Oxford Circus - Market Place,0,30.0,5
British,Cabin Waterloo,0,N\A,5
British,Tea and Tattle,0,N\A,5
"British, International",Blue Door Bistro,1,64.5,4.5
"Italian, Pizza",Fratelli La Bufala Shaftesbury Avenue,1,30.0,5
Italian,Prima Sapori D'Italia,0,39.5,5
South East Asian,Lao Café,0,39.5,5
British,Quo Vadis,23,39.5,4
Indian,Tandoori Raj,0,N\A,5
Pubs,Munich Cricket Club,0,30.0,5
Japanese,Abeno,0,39.5,5
Modern European,The Baptist Bar & Grill at L'Oscar London,1,64.5,5
,Bali Bali,0,N\A,5
,The Living Room at My Chelsea,0,N\A,5
,Coco Ichibanya Covent Garden,0,N\A,5
"International, North American",The Breakfast Club Soho - Berwick Street,0,30.0,5
International,Bowls,0,30.0,5
,Art Yard Bar & Kitchen,1,N\A,4.5
"Afternoon tea, Bars","The Hamptons Bar at St. James' Court, A Taj Hotel",0,30.0,5
,The Library at St Ermin's Hotel (afternoon tea),0,30.0,5
French,Les Platanes,0,64.5,5
Mediterranean,Carnaby Restaurant,0,N\A,5
British,The Square Pig,0,N\A,5
Taiwanese,Old Tree Bakery Soho,0,N\A,5
British,Tom's Terrace,0,39.5,5
Bars,The American Bar at The Savoy,0,N\A,5
,East Street Restaurant,1,39.5,5
North American,Ma' Plucker,1,30.0,3.5
North American,Burger and Lobster Leicester Square,0,39.5,5
Italian,Bancone Golden Square,2,30.0,5
Wine Bars,The Arch Bar at The Intercontinental Park Lane,1,N\A,2
Pubs,The Red Lion Crown Passage,0,N\A,5
Chinese,Shanghai Modern,0,39.5,5
Italian,Princi,1,39.5,4.5
,Garfunkels - Northumberland Avenue,1,39.5,5
Italian,Mele e Pere,18,39.5,4
Gastropub,The Phoenix,0,39.5,5
Pubs,The Duke of Sussex,0,39.5,5
"International, River Boats",Glass Room,0,64.5,5
Indian,Hoppers Soho,11,39.5,4
,Caffe Concerto Green Park,0,N\A,5
Indian,Little Kolkata,0,39.5,5
Bars,Archer Street,0,N\A,5
Bars,Zenna,0,N\A,5
Pubs,The Spice of Life,0,N\A,5
"Argentinian, Steak",The Bull Steak Expert,9,39.5,5
North African,The Barbary,12,39.5,2
British,Petrichor at The Cavendish London,2,N\A,5
"Italian, Pizza",Pizza Express Wardour Street,1,39.5,5
"Chinese, Dim Sum",Canton Element,1,N\A,5
British,The Old Shades,0,N\A,5
Bars,Brumus (bar) at the Haymarket Hotel,0,N\A,5
Chinese,Yming,9,39.5,4
"International, Vegan",By Chloe Covent Garden,1,30.0,1
Bars,Be At One Piccadilly Circus,0,N\A,5
Bars,Walkers of Whitehall (Cocktail Bar),0,N\A,5
Italian,Zizzi The Strand,0,39.5,5
Thai,Pu's Brasserie,6,30.0,3.5
"British, Modern European, Scottish",Six By Nico London,0,39.5,5
Bars,Le Salon Bar,0,N\A,5
Bars,3 and 6 Bar ,0,N\A,5
Modern European,Evelyn's Table at The Blue Posts,0,64.5,5
